00000076.wav|Sărut mâna, doamnă învățătoare!|Sărut mâna, doamnă învățătoare!
00000077.wav|Poate fi roșu, galben sau verde.|Poate fi roșu, galben sau verde.
00000078.wav|În interior are un cotor cu semințe mici, rotunde și tari.|În interior are un cotor cu semințe mici, rotunde și tari.
00000079.wav|Strugurele este format din boabe rotunde sau alungite, mari sau mici, galbene, verzi sau violete.|Strugurele este format din boabe rotunde sau alungite, mari sau mici, galbene, verzi sau violete.
00000080.wav|Miezul lor este dulce și zemos.|Miezul lor este dulce și zemos.
00000081.wav|Au și animalele bucătăria lor!|Au și animalele bucătăria lor!
00000082.wav|Curățenia este mama sănătății.|Curățenia este mama sănătății.
00000083.wav|A – prima literă din alfabet Așteaptă să ne spună-al ei secret, iar M, N, I, R, E ne cheamă-ndată Să mergem într-o lume fermecată.|A – prima literă din alfabet Așteaptă să ne spună-al ei secret, iar M, N, I, R, E ne cheamă-ndată Să mergem într-o lume fermecată.
00000084.wav|Ca o pasăre-i pe cer, Însă nu-i elicopter, Nu e zmeu și nici balon, Sigur, e un.|Ca o pasăre-i pe cer, Însă nu-i elicopter, Nu e zmeu și nici balon, Sigur, e un.
00000085.wav|Ești cea mai scumpă ființă din lume!|Ești cea mai scumpă ființă din lume!
00000086.wav|Aici locuiește vara noastră Mirela!|Aici locuiește vara noastră Mirela!
00000087.wav|Fructe negre, aromate Ce de țepi sunt apărate.|Fructe negre, aromate Ce de țepi sunt apărate.
00000088.wav|Moș Martin mănâncă mure, miere, mănătarci.|Moș Martin mănâncă mure, miere, mănătarci.
00000089.wav|De-aceea-s bucuros, vă dați voi seama, C-am învățat să scriu cuvântul.|De-aceea-s bucuros, vă dați voi seama, C-am învățat să scriu cuvântul.
00000090.wav|Colorați, rotunzi, micuți, De hăinuțe sunt cusuți.|Colorați, rotunzi, micuți, De hăinuțe sunt cusuți.
00000091.wav|Narcisa numără nucile Nicoletei.|Narcisa numără nucile Nicoletei.
00000092.wav|Copii, ia este o adevărată comoară a neamului românesc!|Copii, ia este o adevărată comoară a neamului românesc!
00000093.wav|Ce limpede e apa acestui izvor!|Ce limpede e apa acestui izvor!
00000094.wav|E un animal blănos, E simpatic și fricos, Iar la fugă e fruntaș.|E un animal blănos, E simpatic și fricos, Iar la fugă e fruntaș.
00000095.wav|Îți sărut, izvor, mânuța, Izvorașule.|Îți sărut, izvor, mânuța, Izvorașule.
00000096.wav|C-ai dat apă lui măicuța, Izvorașule.|C-ai dat apă lui măicuța, Izvorașule.
00000097.wav|Te sărut pe ochișori, Izvorașule.|Te sărut pe ochișori, Izvorașule.
00000098.wav|C-ai dat și la frățiori, Izvorașule.|C-ai dat și la frățiori, Izvorașule.
00000099.wav|Când spre Cosmos se lansează, Face zgomot, luminează Și se-ndreaptă spre-o planetă.|Când spre Cosmos se lansează, Face zgomot, luminează Și se-ndreaptă spre-o planetă.
00000100.wav|Sigur, este o. Raluca Rareș răspunde reporterilor.|Sigur, este o. Raluca Rareș răspunde reporterilor.
00000101.wav|Fiindcă în zoologie Două coarne au rămas, I s-au pus, de fudulie, Rinocerului pe nas...|Fiindcă în zoologie Două coarne au rămas, I s-au pus, de fudulie, Rinocerului pe nas...
00000102.wav|Îți mulțumesc, Alex, pentru acest dar minunat!|Îți mulțumesc, Alex, pentru acest dar minunat!
00000103.wav|Eminescu este cel mai mare poet al neamului!|Eminescu este cel mai mare poet al neamului!
00000104.wav|Ea e. Colți de fildeș știm că are, Lungi urechi și-o trompă mare.|Ea e. Colți de fildeș știm că are, Lungi urechi și-o trompă mare.
00000105.wav|E un animal gigant și se cheamă __________.|E un animal gigant și se cheamă __________.
00000106.wav|Ajută-l pe Martinică să ajungă la bârlogul său.|Ajută-l pe Martinică să ajungă la bârlogul său.
00000107.wav|El merge pe drumul ce conține doar cuvinte din două silabe.|El merge pe drumul ce conține doar cuvinte din două silabe.
00000108.wav|U, C, L, O, Ă, T, ieșind din carte, Sunt gata să ne ducă mai departe, iar grupul CE ne spune răspicat Că mai avem atâtea de-nvățat!|U, C, L, O, Ă, T, ieșind din carte, Sunt gata să ne ducă mai departe, iar grupul CE ne spune răspicat Că mai avem atâtea de-nvățat!
00000109.wav|Unirea e inima unui neam, Ana.|Unirea e inima unui neam, Ana.
00000110.wav|Unirea e mare minune, nene Ene!|Unirea e mare minune, nene Ene!
00000111.wav|Ca un scut de apărare, Pentru ploaie, pentru soare, E din fâș sau din dantelă.|Ca un scut de apărare, Pentru ploaie, pentru soare, E din fâș sau din dantelă.
00000112.wav|O. Maria are mere Emi, mierea e aurie Anca, eu am un canar auriu!|O. Maria are mere Emi, mierea e aurie Anca, eu am un canar auriu!
00000113.wav|Iar eu, Nicu, am un iepure ca neaua!|Iar eu, Nicu, am un iepure ca neaua!
00000114.wav|Acum Crina e cu amica ei, Carmen.|Acum Crina e cu amica ei, Carmen.
00000115.wav|O prietenă pe viață, Are file și te-nvață De succes să ai parte, Simplu de ghicit!|O prietenă pe viață, Are file și te-nvață De succes să ai parte, Simplu de ghicit!
00000116.wav|O. Realizează pe o foaie coperta cărții ce conține basmul preferat.|O. Realizează pe o foaie coperta cărții ce conține basmul preferat.
00000117.wav|Luna alina lanul cu lumina ei.|Luna alina lanul cu lumina ei.
00000118.wav|Delicată, colorată, În grădină-i admirată.|Delicată, colorată, În grădină-i admirată.
00000119.wav|Linul este un pește cu corpul gros, acoperit cu solzi mărunți.|Linul este un pește cu corpul gros, acoperit cu solzi mărunți.
00000120.wav|El trăiește în bălți cu apă limpede și nu prea adâncă.|El trăiește în bălți cu apă limpede și nu prea adâncă.
00000121.wav|Realizează o planșă în care să desenezi floarea ta preferată.|Realizează o planșă în care să desenezi floarea ta preferată.
00000122.wav|Olarul are o lume a comorilor!|Olarul are o lume a comorilor!
00000123.wav|Ne dă lapte, carne, lână și trăiește la o stână.|Ne dă lapte, carne, lână și trăiește la o stână.
00000124.wav|Odată, Tândală s-a întâlnit cu Păcală.|Odată, Tândală s-a întâlnit cu Păcală.
00000125.wav|Măi frate, unde te duci? l-a întrebat el.|Măi frate, unde te duci? l-a întrebat el.
00000126.wav|Mă duc la stână să-mi văd oile, răspunse Păcală.|Mă duc la stână să-mi văd oile, răspunse Păcală.
00000127.wav|Albe n-am niciuna, iar negre și mai puține.|Albe n-am niciuna, iar negre și mai puține.
00000128.wav|Era iunie, o nouă lună a anului.|Era iunie, o nouă lună a anului.
00000129.wav|Ce cercei, Marcela? Cercei mari, nu ca ai mei!|Ce cercei, Marcela? Cercei mari, nu ca ai mei!
00000130.wav|Otilia e cu tatăl ei la munte.|Otilia e cu tatăl ei la munte.
00000131.wav|Călătoria cu trenul e minunată!|Călătoria cu trenul e minunată!
00000132.wav|Iată tren cu Pe ecranul lui apare Ce se-ntâmplă-n lumea mare.|Iată tren cu Pe ecranul lui apare Ce se-ntâmplă-n lumea mare.
00000133.wav|Nu, nu e calculatorul, Este chiar.|Nu, nu e calculatorul, Este chiar.
00000134.wav|Steaua, pasărea și norul – Toți salută tricolorul.|Steaua, pasărea și norul – Toți salută tricolorul.
00000135.wav|Sfânt, drapelul nostru are Trei culori strălucitoare: Roșie, galbenă, albastră – Ele sunt averea noastră!|Sfânt, drapelul nostru are Trei culori strălucitoare: Roșie, galbenă, albastră – Ele sunt averea noastră!
00000136.wav|Colorează cu roșu vocalele și cu albastru consoanele pe care le-ai învățat.|Colorează cu roșu vocalele și cu albastru consoanele pe care le-ai învățat.
00000137.wav|Colorează rama casetei care conține cuvântul cu silaba „ce”.|Colorează rama casetei care conține cuvântul cu silaba „ce”.
00000138.wav|Din carte iese-acum și grupul Ci, iar după el ies Ț și Î (din i).|Din carte iese-acum și grupul Ci, iar după el ies Ț și Î, din i.
00000139.wav|Apoi și Â (din a) tiptil apare iar Ș, Ș, D sosesc în grabă mare.|Apoi și Â, din a, tiptil apare iar Ș, Ș, D sosesc în grabă mare.
00000140.wav|Mitruț a călătorit la Țaul cu tatăl lui.|Mitruț a călătorit la Țaul cu tatăl lui.
00000141.wav|Tata a relatat: Am cercetat locul.|Tata a relatat: Am cercetat locul.
00000142.wav|Fostul ied a mai crescut Și-i cu capra la păscut, Are coarne, dă cu capul, Cine este oare?|Fostul ied a mai crescut Și-i cu capra la păscut, Are coarne, dă cu capul, Cine este oare?
00000143.wav|Litera încolonată era la o întrecere.|Litera încolonată era la o întrecere.
00000144.wav|Înaintea celorlalte, litera „A” încercă a citi o carte: – A-a-a. Nimic nu lămurea! – Î-î-î, continuă litera „Î”.|Înaintea celorlalte, litera „A” încercă a citi o carte: – A-a-a. Nimic nu lămurea! – Î-î-î, continuă litera „Î”.
00000145.wav|Numai cu toate literele unite e lumină în minte.|Numai cu toate literele unite e lumină în minte.
00000146.wav|Marți au călătorit cu toții în natură.|Marți au călătorit cu toții în natură.
00000147.wav|Au urmărit ciocârlia cum a urcat, încet, către cer.|Au urmărit ciocârlia cum a urcat, încet, către cer.
00000148.wav|Cântecul ei minunat era ca un imn.|Cântecul ei minunat era ca un imn.
00000149.wav|Cântecele ei înalță inimile oamenilor.|Cântecele ei înalță inimile oamenilor.
00000150.wav|Îngerașul de Ludmila Romanciuc.|Îngerașul de Ludmila Romanciuc.
00000151.wav|Fiecare copilaș Poartă-n suflet Câte-un gingaș îngeraș.|Fiecare copilaș Poartă-n suflet Câte-un gingaș îngeraș.
00000152.wav|Când e mic, îl face mare, Când e slab, îl face tare Și în toate-l însoțește, De ceas greu îl tot ferește.|Când e mic, îl face mare, Când e slab, îl face tare Și în toate-l însoțește, De ceas greu îl tot ferește.
00000153.wav|Cosmin e acasă, cu toți ai săi.|Cosmin e acasă, cu toți ai săi.
00000154.wav|El stă la masă cu sora sa, Cristina.|El stă la masă cu sora sa, Cristina.
00000155.wav|Ei citesc o carte interesantă.|Ei citesc o carte interesantă.
00000156.wav|Mama a intrat încet în cameră.|Mama a intrat încet în cameră.
00000157.wav|Aici e locul în care mă simt ocrotit.|Aici e locul în care mă simt ocrotit.
00000158.wav|Soarele se uita somnoros în Nistru.|Soarele se uita somnoros în Nistru.
00000159.wav|Cetatea Sorocii se înalța către cer.|Cetatea Sorocii se înalța către cer.
00000160.wav|Sorin urmărea înserarea cu sora sa, Simona.|Sorin urmărea înserarea cu sora sa, Simona.
00000161.wav|Cu L – sunt apă stătătoare, Cu R – am clește la picioare, Cu M – prind bine în bucate, Cu S – abia mă duci în spate.|Cu L – sunt apă stătătoare, Cu R – am clește la picioare, Cu M – prind bine în bucate, Cu S – abia mă duci în spate.
00000162.wav|Cei șase șoricei s-au uitat șocați la ea.|Cei șase șoricei s-au uitat șocați la ea.
00000163.wav|Care e inamicul numărul unu al neamului șoricesc?|Care e inamicul numărul unu al neamului șoricesc?
00000164.wav|Lenea, rosti Șoricică cel isteț.|Lenea, rosti Șoricică cel isteț.
00000165.wav|Cașul acesta e al tău, Șoricică!|Cașul acesta e al tău, Șoricică!
00000166.wav|Citește bilețelul: Motănașule, Încercăm să renunțăm la ură?|Citește bilețelul: Motănașule, Încercăm să renunțăm la ură?
00000167.wav|Neamul șoriceilor știe că e ușor să trăim în armonie.|Neamul șoriceilor știe că e ușor să trăim în armonie.
00000168.wav|Steaua sus răsare Ca o taină mare...|Steaua sus răsare Ca o taină mare...
00000169.wav|Chițăie și-i este frică, Dacă vede o pisică.|Chițăie și-i este frică, Dacă vede o pisică.
00000170.wav|E vioi și mititel Și se cheamă.|E vioi și mititel Și se cheamă.
00000171.wav|Un cuvânt poate avea mai multe înțelesuri.|Un cuvânt poate avea mai multe înțelesuri.
00000172.wav|Chițăilă nu-i fricos, E un șoricel faimos.|Chițăilă nu-i fricos, E un șoricel faimos.
00000173.wav|E isteț, cu mintea trează, Șoricimea îl stimează.|E isteț, cu mintea trează, Șoricimea îl stimează.
00000174.wav|De nimic nu-i este frică, Nici măcar de o pisică.|De nimic nu-i este frică, Nici măcar de o pisică.
00000175.wav|De mușcăți o trage tare, Chiar o calcă în picioare Și e vai de coada ei!|De mușcăți o trage tare, Chiar o calcă în picioare Și e vai de coada ei!
00000176.wav|Chițăilă, dragii mei, E glumeț și jucăuș, Iar pisica... e de pluș.|Chițăilă, dragii mei, E glumeț și jucăuș, Iar pisica... e de pluș.
00000177.wav|Radu se uită la sora sa, Anda, cum mănâncă un ardei dulce.|Radu se uită la sora sa, Anda, cum mănâncă un ardei dulce.
00000178.wav|Mai bine să mănânci crudități, decât dulciuri, Radu!|Mai bine să mănânci crudități, decât dulciuri, Radu!
00000179.wav|Eu am o dantură sănătoasă, dar tu ai dinții cariați de la atâtea acadele.|Eu am o dantură sănătoasă, dar tu ai dinții cariați de la atâtea acadele.
00000180.wav|Mai am un ardei, dacă dorești, Radule...|Mai am un ardei, dacă dorești, Radule...
00000181.wav|Unde locuiește acum mătușa Doiniței?|Unde locuiește acum mătușa Doiniței?
00000182.wav|Mătușă Dorina, Aceasta este întâia mea scrisoare.|Mătușă Dorina, Aceasta este întâia mea scrisoare.
00000183.wav|Cunosc multe litere și mă străduiesc să îți scriu două-trei rânduri.|Cunosc multe litere și mă străduiesc să îți scriu două-trei rânduri.
00000184.wav|Știu că în Danemarca, unde muncești, nu îți este ușor.|Știu că în Danemarca, unde muncești, nu îți este ușor.
00000185.wav|Dorul de casă cred că este mare.|Dorul de casă cred că este mare.
00000186.wav|Ascultă doinele noastre și dorul trece!|Ascultă doinele noastre și dorul trece!
00000187.wav|Doinele sunt duioase ca niște duminici.|Doinele sunt duioase ca niște duminici.
00000188.wav|E o mobilă ce are Rafturi, umerașe, bare Și în care haine-ncap.|E o mobilă ce are Rafturi, umerașe, bare Și în care haine-ncap.
00000189.wav|Nu vă fie de mirare: E plantă otrăvitoare, Dar foarte folositoare.|Nu vă fie de mirare: E plantă otrăvitoare, Dar foarte folositoare.
00000190.wav|Cică nu departe de casa caprei cu trei iezi își avea casa un ied cu trei capre: o capră-mamă, o capră-mătușă și o capră-bunică.|Cică nu departe de casa caprei cu trei iezi își avea casa un ied cu trei capre: o capră-mamă, o capră-mătușă și o capră-bunică.
00000191.wav|Grozav de bine o mai ducea iedul!|Grozav de bine o mai ducea iedul!
00000192.wav|Dimineața, nici nu apuca bine să deschidă ochii, că și începea să poruncească: – Capră-mamă! – Spune, fiul meu iubit!|Dimineața, nici nu apuca bine să deschidă ochii, că și începea să poruncească: – Capră-mamă! – Spune, fiul meu iubit!
00000193.wav|Capra-mamă nu aștepta să i se spună de două ori.|Capra-mamă nu aștepta să i se spună de două ori.
00000194.wav|Se apleca să-i caute opincile sub pat.|Se apleca să-i caute opincile sub pat.
00000195.wav|Urca pe dulap să-i găsească nădragii.|Urca pe dulap să-i găsească nădragii.
00000196.wav|Se băga după cuptor să-i afle cămășuica.|Se băga după cuptor să-i afle cămășuica.
00000197.wav|Iedul nu obișnuia, ca voi, dragi copii, să folosească spătarul scaunului ori cuierul.|Iedul nu obișnuia, ca voi, dragi copii, să folosească spătarul scaunului ori cuierul.
00000198.wav|Își arunca hainele unde nimerea.|Își arunca hainele unde nimerea.
00000199.wav|Capra-mamă îi aduna straiele și se căznea să-l îmbrace.|Capra-mamă îi aduna straiele și se căznea să-l îmbrace.
00000200.wav|Când se vedea îmbrăcat, iedul iarăși poruncea: – Mătușă-capră! – Spune, nepotelul meu drag!|Când se vedea îmbrăcat, iedul iarăși poruncea: – Mătușă-capră! – Spune, nepotelul meu drag!
00000201.wav|Fără să mai zăbovească, mătușa-capră se repezea la bucătărie.|Fără să mai zăbovească, mătușa-capră se repezea la bucătărie.
00000202.wav|Turna într-o ulcică lapte dulce și așeza într-o strachină mămăliguță caldă.|Turna într-o ulcică lapte dulce și așeza într-o strachină mămăliguță caldă.
